,Maywood,Cudahy,Huntington Park,West Hollywood,San Francisco,Bell Gardens,Lawndale,Hawaiian Gardens,Lynwood,Bell,Hawthorne,Hermosa Beach,Daly City,South Gate,Bellflower,Inglewood,Stanton,Santa Ana,El Monte,La Puente,Paramount,Baldwin Park,East Palo Alto,San Pablo,Norwalk,Alhambra,Berkeley,Redondo Beach,Lomita,Santa Monica,Albany,Rosemead,Artesia,Gardena,San Fernando,Compton,San Gabriel,Garden Grove,Long Beach,Downey,Westminster,Manhattan Beach,Temple City,La Palma,Lakewood,La Habra,Foster City,Emeryville,Los Angeles,National City,San Mateo,Monterey Park,Placentia,Greenfield,Buena Park,Watsonville,Culver City,Pico Rivera,South Pasadena,San Bruno,Montebello,Oxnard,Cypress,Torrance,Huntington Beach,South El Monte,Costa Mesa,Oakland,South San Francisco,Alameda,El Cajon,Suisun City,Tustin,Covina,Campbell,Anaheim,Montclair,Davis,Millbrae,West Covina,Parlier,Lemon Grove,Burlingame,Pomona,Salinas,Aliso Viejo,Santa Paula,Sunnyvale,San Leandro,El Cerrito,Santa Clara,Imperial Beach,Glendale,La Mesa,Piedmont,Capitola,La Mirada,Mountain View,Fountain Valley,Fullerton,Beverly Hills,Pasadena,Burbank,Rohnert Park,Soledad,Citrus Heights,Whittier,Ceres,Grover Beach,Cerritos,Belmont,Riverbank,Modesto,Orange,Guadalupe,San Jose,Mission Viejo,Pacific Grove,Laguna Woods,Cupertino,Arcadia,San Carlos,Dana Point,Holtville,Carpinteria,Vista,Signal Hill,Chula Vista,Milpitas,Ventura,Newman,Carson,Port Hueneme,Azusa,Orange Cove,Hollister,McFarland,Sacramento,Reedley,Stockton,Upland,Santa Cruz,Pleasant Hill,Farmersville,San Anselmo,Fontana,Atwater,Calexico,Lodi,Santa Barbara,Laguna Hills,Live Oak,Selma,Lindsay,Los Altos,Fillmore,Yuba City,Rialto,Fresno,Sanger,Santa Maria,Lake Forest,Napa,Huron,Laguna Niguel,Gonzales,Exeter,Kerman,Rancho Cucamonga,Belvedere,Clovis,Eastvale,Santa Rosa,Turlock,Oceanside,Kingsburg,Petaluma,American Canyon,San Diego,Arvin,Concord,San Ramon,Sebastopol,Galt,Sausalito,Larkspur,Redwood City,Corona,Escondido,Madera,
Sanger,218.834,221.312,217.204,207.141,201.96,221.075,219.799,231.638,224.937,219.616,218.554,221.944,208.523,223.322,229.546,214.904,235.867,242.789,223.47,231.02,226.768,227.381,181.025,202.659,226.041,216.135,194.185,222.832,226.386,211.551,197.222,220.986,230.396,223.632,190.958,226.312,218.44,239.42,234.401,223.449,241.873,221.353,219.639,231.992,231.552,238.307,195.048,192.23,211.001,336.897,197.045,217.806,240.873,109.573,231.866,150.941,210.802,226.069,214.054,205.673,220.55,219.088,232.687,224.467,247.209,224.018,251.395,190.697,206.382,187.665,337.264,191.208,245.601,229.552,166.033,236.833,242.071,197.555,202.96,228.345,9.03,336.612,201.073,238.525,156.124,260.665,203.398,174.943,181.516,198.341,170.02,344.168,206.523,334.231,191.301,165.994,230.612,176.793,245.728,237.005,209.641,212.277,201.904,241.35,157.893,195.61,225.554,105.613,162.818,231.031,191.562,116.777,110.15,241.764,175.929,165.248,259.568,170.251,256.798,171.171,219.017,189.437,268.993,431.3641,235.305,303.64,233.388,337.925,170.563,219.149,105.038,226.628,224.055,226.258,19.244,129.554,76.644,188.077,12.894,140.609,242.614,171.214,186.381,42.166,213.05,255.926,79.316,432.6681,151.08,246.452,256.153,167.97,12.76,52.601,178.957,194.167,228.314,259.99,14.125,0,179.159,257.105,210.97,62.698,264.537,173.306,47.103,31.662,247.69,217.21,15.503,255.17,247.549,96.499,294.186,13.683,231.823,208.845,330.969,122.595,190.074,172.078,248.224,158.615,216.985,211.715,186.573,256.06,322.203,37.692,
Santa Maria,165.965,168.443,164.408,152.223,263.209,168.206,163.993,178.769,171.195,166.747,162.748,166.138,258.556,170.453,176.978,159.098,182.998,189.92,171.442,178.192,174.396,176.976,232.369,268.511,173.171,165.354,260.0031,167.026,170.58,155.745,263.074,168.846,177.527,167.826,152.262,170.506,168.129,191.708,178.595,170.58,188.646,165.547,169.234,179.122,179.434,185.479,244.187,259.755,158.576,284.028,244.535,165.778,188.004,115.105,178.997,176.368,154.996,173.241,163.273,253.22,167.722,101.303,179.818,168.661,193.982,171.19,196.528,255.618,253.928,252.586,284.395,290.815,192.732,179.147,217.376,183.964,191.666,316.527,250.506,176.317,173.961,283.743,248.62,188.12,157.843,209.503,107.042,226.287,247.966,264.193,221.364,291.299,155.908,281.362,258.744,189.25,177.743,228.137,192.501,184.136,153.835,161.814,152.399,307.202,131.54,337.093,172.685,241.428,17.98,178.162,242.905,252.591,245.965,188.895,8.826,216.591,206.699,176.756,203.929,222.514,168.612,240.781,216.124,380.959,74.847,250.771,177.582,285.056,221.907,91.121,223.982,170.822,103.212,175.853,186.538,170.318,155.004,320.693,177.825,274.304,192.209,194.47,262.74,172.419,278.902,205.521,231.815,382.263,290.177,63.739,203.284,191.226,166.316,173.759,230.3,116.235,360.93,209.585,168.181,179.116,0,204.236,297.101,129.452,211.668,140.651,177.356,165.966,197.285,283.062,177.615,204.765,313.401,232.313,241.317,169.392,297.675,285.204,278.1,120.705,266.434,248.437,314.076,297.712,271.983,277.567,237.917,205.655,271.798,190.19,
Lake Forest,41.684,40.324,42.855,54.07,427.586,38.679,46.275,31.255,41.742,41.046,47.683,48.353,434.149,42.699,33.542,51.882,25.573,15.224,46.047,41.597,36.005,48.163,401.421,428.285,31.05,47.971,419.811,47.498,43.2,60.154,422.848,46.639,31.835,44.582,67.556,40.376,48.288,20.643,33.634,35.572,22.113,49.057,49.973,28.454,35.548,30.572,420.674,417.856,46.324,86.873,422.671,46.416,23.418,148.879,25.862,371.3371,54.438,38.069,47.868,431.299,40.295,106.697,30.309,45.904,23.332,43.122,15.092,416.323,432.008,413.291,87.24,432.069,10.678,44.681,386.429,21.905,36.839,441.519,428.586,46.806,250.382,86.588,426.699,36.35,349.049,10.641,110.351,395.339,407.142,423.967,390.416,94.144,53.754,84.207,416.927,386.39,29.213,397.189,17.843,25.346,56.924,61.815,55.891,466.976,322.747,445.337,35.616,352.846,220.319,31.331,411.958,364.01,357.383,17.29,210.675,385.644,7.075,367.962,5.908,391.567,55.953,409.833,18.969,196.463,129.451,53.616,33.642,87.901,390.959,113.295,332.226,38.905,108.859,48.351,254.75,349.95,180.506,428.937,250.934,382.549,37.604,391.61,412.007,231.354,438.676,49.176,326.55,193.866,398.4221,140.598,5.105,388.366,248.108,215.775,399.353,101.12,469.174,51.649,262.921,256.631,203.71,0,446.368,237.718,14.513,331.857,235.071,278.942,45.241,442.836,267.622,35.238,473.175,343.7321,44.162,243.042,457.449,434.471,80.945,148.795,415.7,397.704,473.85,405.957,442.611,437.341,406.969,26.605,63.939,284.925,
Napa,408.059,410.537,406.429,396.366,48.267,410.3,409.024,420.863,414.162,408.841,407.779,411.169,54.83,412.547,418.771,404.129,425.092,432.014,412.695,420.245,415.993,416.606,73.293,30.636,415.266,405.36,38.432,412.057,415.6111,400.776,35.365,410.211,419.621,412.857,380.183,415.537,407.665,428.645,423.626,412.674,431.098,410.578,408.864,421.217,420.777,427.532,67.573,40.196,400.226,526.1221,66.75,407.031,430.098,304.838,421.091,127.743,400.027,415.294,403.279,58.052,409.775,407.425,421.912,413.692,436.434,413.243,440.62,42,55.634,46.002,526.4891,20.15,434.826,418.7771,87.862,426.058,431.296,45.862,60.571,417.57,214.645,525.8371,61.245,427.75,140.219,449.89,392.623,84.732,52.323,34.619,84.877,533.3931,395.748,523.4561,42.536,115.736,419.837,86.623,434.953,426.23,398.866,401.502,391.129,34.562,165.648,72.818,414.779,105.553,280.543,420.256,69.799,98.909,101.268,430.989,293.654,86.082,448.793,154.346,446.023,91.308,408.2421,69.892,458.218,620.5891,370.213,492.865,422.613,527.1501,76.421,408.3741,119.138,415.853,413.28,415.4831,228.442,127.589,289.147,59.339,218.508,70.663,431.8391,112.776,34.145,243.646,37.55,445.1511,131.98,621.8931,64.953,359.105,445.378,113.579,210.933,254.082,83.149,383.3921,96.767,449.215,196.332,211.078,296.884,446.33,0,213.827,453.762,157.401,248.583,190.048,436.915,44.903,204.406,444.3951,40.761,115.034,483.411,215.565,25.37,10.21,520.194,316.273,34.593,50.151,41.436,83.806,44.679,39.408,71.599,445.285,511.4281,173.673,
Huron,199.859,202.337,198.229,188.166,195.305,202.1,200.824,212.663,205.962,200.641,199.579,202.969,201.868,204.347,210.571,195.929,216.892,223.814,204.495,212.045,207.793,208.406,169.14,196.004,207.066,197.16,187.53,203.857,207.411,192.576,190.567,202.011,211.421,204.657,171.983,207.337,199.465,220.445,215.426,204.474,222.898,202.378,200.664,213.017,212.577,219.332,188.393,185.575,192.026,317.922,190.39,198.831,221.898,96.638,212.891,139.056,191.827,207.094,195.079,199.018,201.575,199.225,213.712,205.492,228.234,205.043,232.42,184.042,199.727,181.01,318.289,199.788,226.626,210.577,154.148,217.858,223.096,209.238,196.305,209.37,57.72,317.637,194.418,219.55,144.239,241.69,184.423,163.058,174.861,191.686,158.135,325.1931,187.548,315.256,184.646,154.109,211.637,164.908,226.753,218.03,190.666,193.302,182.929,234.695,97.007,213.057,206.579,117.392,113.071,212.056,179.677,128.555,121.929,222.789,126.182,153.363,240.593,158.366,237.823,159.286,200.042,177.552,250.018,412.389,216.33,284.665,214.413,318.95,158.678,200.174,99.945,207.653,205.08,207.283,70.16,117.669,80.948,196.657,61.584,150.268,223.639,159.329,179.726,56.04,206.395,236.951,94.956,413.693,166.141,191.633,237.178,156.085,50.075,66.51,167.072,175.192,236.894,241.015,51.94,62.875,129.412,238.13,214.087,0,245.562,106.117,60.977,36.514,228.715,210.555,61.374,236.195,240.894,108.277,275.211,53.151,225.168,202.19,311.994,108.073,183.419,165.423,241.569,173.676,210.33,205.06,174.688,237.085,303.2281,53.332,
Laguna Niguel,48.295,46.935,49.466,60.681,434.197,45.29,50.269,35.249,48.353,47.657,51.677,52.347,440.76,49.31,40.153,55.876,29.227,21.835,52.658,48.208,42.616,53.729,408.032,434.896,37.661,54.582,426.422,51.492,47.194,65.264,429.459,53.25,37.972,47.674,74.167,46.987,54.899,27.254,37.628,42.183,26.107,53.051,56.584,35.065,38.775,37.183,427.285,424.467,52.935,76.222,429.282,53.027,30.029,155.49,32.473,377.9481,60.564,44.68,54.479,437.91,46.906,113.308,32.963,49.898,24.19,49.733,18.306,422.934,438.619,419.902,76.589,438.68,18.816,50.247,393.04,28.516,51.266,448.13,435.197,52.372,256.993,75.937,433.31,46.211,355.6601,3.586,116.962,401.95,413.753,430.578,397.027,83.493,60.365,73.556,423.538,393.001,35.824,403.8,21.837,31.957,63.535,67.583,62.502,473.587,329.358,451.948,42.227,359.457,226.93,37.942,418.569,370.621,363.994,23.901,217.286,392.255,6.84,374.573,6.549,398.178,61.721,416.444,4.425,185.812,136.062,42.966,37.636,77.25,397.57,119.906,338.837,42.899,115.47,54.119,261.361,356.561,187.117,435.548,257.545,389.16,48.038,398.221,418.618,237.965,445.287,59.61,333.161,183.215,405.0331,147.209,6.973,394.977,254.719,222.386,405.964,107.731,475.785,62.083,269.532,263.242,210.321,12.775,452.979,244.329,0,338.468,241.682,285.553,55.675,449.447,274.233,45.672,479.786,350.343,33.512,249.653,464.06,441.082,70.294,155.406,422.311,404.315,480.461,412.568,449.222,443.952,413.58,37.039,53.289,291.536,
Gonzales,293.795,296.273,292.165,282.1021,123.681,296.036,294.76,306.599,299.898,294.577,293.515,296.905,119.027,298.2831,304.507,289.865,310.8281,317.75,298.4311,305.981,301.7291,302.342,92.841,128.982,301.002,291.096,120.474,297.793,301.3471,286.512,123.545,295.947,305.357,298.593,265.919,301.273,293.401,314.381,309.3621,298.4101,316.834,296.3141,294.6,306.953,306.513,313.268,104.658,120.226,285.962,411.858,105.006,292.767,315.834,190.574,306.827,36.84,285.763,301.0301,289.015,113.691,295.511,240.268,307.648,299.428,322.17,298.979,326.356,116.089,114.4,113.057,412.225,151.287,320.562,304.5131,77.848,311.794,317.032,176.999,110.978,303.306,155.911,411.573,109.091,313.486,18.314,335.626,246.007,86.759,108.437,124.664,81.836,419.1291,281.484,409.192,119.215,49.721,305.573,88.608,320.689,311.966,284.602,287.238,276.8651,167.673,9.247,210.626,300.515,125.38,124.143,305.9921,103.377,137.648,126.841,316.725,137.253,77.063,334.529,37.227,331.759,82.986,293.9781,101.252,343.954,506.3251,213.812,378.601,308.349,412.8861,82.379,230.086,97.455,301.589,242.177,301.2191,171.799,45.099,174.824,194.226,159.774,147.837,317.5751,54.941,123.212,157.68,139.373,330.8871,119.77,507.6291,163.71,202.704,331.114,51.697,150.087,168.149,90.772,255.2,234.463,334.951,158.632,173.378,140.483,332.066,157.573,106.15,339.498,0,162.616,134.683,322.651,143.533,166.706,330.1311,173.872,115.987,369.147,150.484,158.146,145.676,405.9301,202.009,126.906,108.909,174.547,171.245,132.455,138.038,98.389,331.021,397.1641,135.973,
Exeter,185.725,188.203,184.095,174.032,249.346,187.966,186.69,198.529,191.828,186.507,185.445,188.835,255.909,190.213,196.437,181.795,202.758,209.68,190.361,197.911,193.659,194.272,223.181,250.045,192.932,183.026,241.571,189.723,193.277,178.442,244.608,187.877,197.287,190.523,157.849,193.203,185.331,206.311,201.292,190.34,208.764,188.244,186.53,198.883,198.443,205.198,242.434,239.616,177.892,303.788,244.431,184.697,207.764,76.465,198.757,193.097,177.693,192.96,180.945,253.059,187.441,185.979,199.578,191.358,214.1,190.909,218.286,238.083,253.768,235.051,304.155,228.69,212.492,196.443,208.189,203.724,208.962,235.037,250.346,195.236,40.63,303.503,248.459,205.416,198.28,227.556,170.289,217.099,228.902,245.727,212.176,311.059,173.414,301.122,238.687,208.15,197.503,218.949,212.619,203.896,176.532,179.168,168.795,288.736,156.19,233.092,192.445,143.095,161.224,197.922,233.718,154.259,147.632,208.655,174.335,207.404,226.459,212.407,223.689,213.327,185.908,231.593,235.884,398.255,202.196,270.531,200.279,304.816,212.719,186.04,142.52,193.519,190.946,193.149,33.414,171.71,55.383,225.559,38.491,178.091,209.505,213.37,233.767,4.19,260.436,222.817,116.798,399.559,188.561,213.343,223.044,210.126,38.357,9.404,221.113,161.058,265.796,226.881,53.169,46.879,177.565,223.996,248.452,60.995,231.428,165.3,0,69.19,214.581,264.596,57.87,222.061,294.935,133.98,261.077,33.29,279.209,256.231,297.86,89.487,237.46,219.464,295.61,196.096,264.371,259.101,228.729,222.951,289.094,75.173,
Kerman,240.962,243.44,239.332,229.269,178.762,243.203,241.927,253.766,247.065,241.744,240.682,244.072,185.325,245.45,251.674,237.032,257.995,264.917,245.598,253.148,248.896,249.509,152.598,179.461,248.169,238.263,170.987,244.96,248.514,233.679,174.024,243.114,252.524,245.76,213.086,248.44,240.568,261.548,256.529,245.577,264.001,243.481,241.767,254.12,253.68,260.435,171.85,169.032,233.129,359.025,173.847,239.934,263.001,131.701,253.994,122.514,232.93,248.197,236.182,182.475,242.678,240.328,254.815,246.595,269.337,246.146,273.523,167.499,183.184,164.467,359.392,170.333,267.729,251.68,137.606,258.961,264.199,176.68,179.762,250.473,35.292,358.74,177.875,260.653,127.697,282.793,225.526,146.516,158.318,175.143,141.593,366.296,228.651,356.359,168.103,137.567,252.74,148.366,267.856,259.133,231.769,234.405,224.032,218.152,125.559,174.735,247.682,84.738,149.61,253.159,163.135,95.902,89.275,263.892,162.721,136.821,281.696,141.824,278.926,142.744,241.145,161.01,291.121,453.4921,257.433,325.768,255.516,360.053,142.136,241.277,84.163,248.756,246.183,248.386,49.089,101.127,98.772,167.202,39.155,119.734,264.7421,142.787,163.183,64.293,189.852,278.054,58.442,454.7961,130.205,228.172,278.281,139.543,31.58,74.729,150.53,216.295,207.439,282.118,16.979,31.61,165.951,279.233,197.544,36.539,286.665,134.669,69.23,0,269.818,194.012,24.938,277.298,224.351,75.624,316.314,36.212,208.625,185.647,353.097,144.723,166.876,148.88,225.026,137.74,193.787,188.517,158.146,278.188,344.331,16.818,
Rancho Cucamonga,45.123,47.601,47.715,49.864,418.519,43.52,59.322,49.086,50.191,45.905,58.591,63.069,425.082,49.611,46.994,59.428,43.359,39.592,29.054,30.106,47.677,25.201,392.355,419.218,43.516,35.925,410.744,63.529,63.166,61.3,413.781,32.221,47.844,58.034,57.973,51.244,34.943,41.383,58.049,43.377,44.133,63.652,31.339,42.419,49,30.454,411.607,408.789,42.118,116.83,413.604,35.456,31.942,139.813,39.827,362.2711,55.584,37.507,39.194,422.232,39.458,100.042,44.434,61.485,58.193,34.747,49.953,407.256,422.941,404.224,116.393,423.003,42.407,21.719,377.363,35.611,9.591,432.452,419.519,23.845,241.316,116.331,417.632,13.846,339.983,53.261,101.285,386.273,398.075,414.9,381.35,124.102,42.135,113.911,407.86,377.324,36.048,388.123,52.738,33.417,58.07,35.865,47.096,457.909,313.681,436.271,40.189,343.78,213.664,48.479,402.892,354.944,348.317,41.092,204.02,376.578,52.319,358.896,49.549,382.501,30.003,400.767,61.744,184.494,122.796,79.548,57.844,119.467,381.893,106.64,323.16,56.781,102.204,22.401,245.684,340.884,171.44,419.871,241.868,373.483,4.449,382.544,402.94,222.288,429.609,8.268,317.484,185.798,389.356,133.943,48.904,379.3,239.042,206.709,390.287,92.054,460.108,12.032,253.855,247.565,197.055,45.68,437.301,228.652,57.288,322.791,226.005,269.876,0,433.769,258.556,12.642,464.108,334.666,85.451,233.976,448.382,425.404,113.724,139.729,406.633,388.637,464.783,396.891,433.544,428.274,397.903,19.818,83.983,275.859,
Belvedere,404.594,407.072,402.9641,392.901,16.467,406.835,405.559,417.398,410.697,405.376,404.314,407.704,21.182,409.082,415.306,400.664,421.627,428.549,409.23,416.78,412.528,413.1411,48.335,19.218,411.801,401.8951,24.055,408.592,412.1461,397.311,21.111,406.746,416.156,409.392,376.718,412.072,404.2,425.18,420.161,409.209,427.633,407.113,405.399,417.752,417.312,424.067,38.756,25.819,396.761,522.657,37.933,403.566,426.633,301.373,417.626,103.396,396.562,411.829,399.814,26.92,406.31,404.848,418.447,410.227,432.969,409.778,437.155,27.623,26.817,31.625,523.024,52.845,431.361,415.3121,66.868,422.593,427.831,78.557,29.977,414.105,220.432,522.3721,32.428,424.285,126.141,446.425,389.1581,57.241,37.946,20.765,62.035,529.928,392.283,519.991,28.159,91.389,416.372,54.273,431.488,422.765,395.401,398.037,387.664,40.043,151.57,105.513,411.314,111.341,266.465,416.791,38.957,109.735,107.055,427.524,279.576,65.08,445.328,140.268,442.558,59.634,404.7771,41.075,454.753,617.1241,356.134,489.4,419.148,523.6851,62.79,404.9091,115.673,412.388,409.815,412.0181,234.229,113.51,285.682,92.033,224.295,98.517,428.3741,88.429,43.042,249.434,10.763,441.6861,137.768,618.4281,92.13,345.026,441.913,89.232,216.72,259.869,55.34,379.9271,129.462,445.75,202.12,216.866,282.805,442.865,44.482,210.362,450.297,143.322,254.371,194.397,433.45,0,210.194,440.9301,46.242,120.822,479.946,221.353,30.515,38.593,516.729,312.808,41.216,51.814,46.916,116.5,8.543,7.518,42.782,441.82,507.9631,179.461,
Clovis,234.722,237.2,233.092,223.029,195.35,236.963,235.687,247.526,240.825,235.504,234.442,237.832,201.913,239.21,245.434,230.792,251.755,258.677,239.358,246.908,242.656,243.269,174.415,196.049,241.929,232.023,187.575,238.72,242.274,227.439,190.612,236.874,246.284,239.52,206.846,242.2,234.328,255.308,250.289,239.337,257.761,237.241,235.527,247.88,247.44,254.195,188.438,185.62,226.889,352.785,190.435,233.694,256.761,125.461,247.754,144.331,226.69,241.957,229.942,199.063,236.438,234.976,248.575,240.355,263.097,239.906,267.283,184.087,199.772,181.055,353.152,184.598,261.489,245.44,159.423,252.721,257.959,190.945,196.35,244.233,29.052,352.5,194.463,254.413,149.514,276.553,219.286,168.333,174.906,191.731,163.41,360.056,222.411,350.119,184.691,159.384,246.5,170.183,261.616,252.893,225.529,228.165,217.792,234.74,156.469,189,241.442,99.003,161.393,246.919,184.952,110.167,103.54,257.652,174.504,158.638,275.456,163.641,272.686,164.561,234.905,182.827,284.881,447.2521,251.193,319.528,249.276,353.813,163.953,235.037,98.428,242.516,239.943,242.146,33.274,122.944,92.532,181.467,27.516,133.999,258.502,164.604,179.771,58.053,206.44,271.8141,72.706,448.5561,144.47,262.3401,272.041,161.36,25.34,68.489,172.347,210.055,221.704,275.878,10.109,15.055,177.734,272.993,204.36,61.274,280.425,166.696,62.99,25.052,263.578,210.6,0,271.058,240.939,89.889,310.074,29.972,225.213,202.235,346.857,138.483,183.464,165.468,241.614,152.005,210.375,205.105,179.963,271.948,338.091,31.082,
Eastvale,46.004,48.482,48.596,54.871,426.515,44.443,58.572,45.301,51.365,46.786,59.765,59.24,433.078,50.492,43.165,60.602,39.017,35.041,34.061,31.217,45.628,30.209,400.351,427.214,40.708,40.932,418.74,59.7,59.337,62.181,421.777,37.229,41.458,54.205,65.969,49.999,39.95,36.622,55.137,44.3,39.372,59.765,37.987,38.077,45.171,31.564,419.603,416.785,47.125,106.128,421.6,40.463,27.256,147.809,35.485,370.2671,56.465,38.43,43.101,430.228,40.339,108.038,40.092,57.656,47.492,35.628,39.252,415.252,430.937,412.22,105.691,430.999,31.706,26.727,385.359,31.06,17.238,440.448,427.515,28.852,249.312,105.629,425.628,18.414,347.979,42.56,109.281,394.269,406.071,422.896,389.346,113.4,50.131,103.209,415.856,385.32,38.872,396.119,42.037,31.845,58.951,43.861,55.092,465.905,321.677,444.267,37.287,351.776,221.66,40.954,410.888,362.94,356.313,30.391,212.016,384.574,41.618,366.892,38.848,390.497,37.999,408.763,51.043,182.25,130.792,68.846,51.362,108.765,389.889,114.636,331.156,53.869,110.2,30.397,253.68,348.88,179.436,427.867,249.864,381.479,14.991,390.54,410.936,230.284,437.605,16.378,325.48,183.554,397.3521,141.939,38.203,387.296,247.038,214.705,398.283,100.05,468.104,18.851,261.851,255.561,205.051,34.979,445.297,236.648,46.587,330.787,234.001,277.872,12.443,441.765,266.552,0,472.104,342.662,74.749,241.972,456.378,433.4,103.022,147.725,414.629,396.633,472.779,404.887,441.54,436.27,405.899,9.117,73.281,283.855,
Santa Rosa,435.293,437.771,433.663,423.6,54.172,437.534,436.258,448.097,441.396,436.075,435.013,438.403,58.886,439.781,446.005,431.363,452.326,459.248,439.929,447.479,443.2271,443.8401,86.04,49.917,442.5,432.5941,54.754,439.291,442.8451,428.01,51.81,437.445,446.855,440.091,407.417,442.771,434.899,455.879,450.86,439.9081,458.332,437.812,436.098,448.451,448.011,454.766,76.461,56.518,427.46,553.356,75.638,434.265,457.332,332.072,448.325,143.527,427.261,442.528,430.513,64.624,437.009,434.659,449.146,440.926,463.668,440.477,467.854,58.322,64.522,62.324,553.723,54.964,462.06,446.0111,103.646,453.292,458.53,80.676,67.681,444.804,251.131,553.071,70.133,454.984,156.84,477.124,419.8571,94.946,68.645,51.464,100.662,560.627,422.982,550.69,58.858,131.52,447.071,91.978,462.187,453.464,426.1,428.736,418.363,6.995,182.269,107.632,442.013,142.04,297.164,447.4901,76.661,140.434,137.754,458.223,310.275,99.303,476.027,170.967,473.257,97.338,435.4761,78.78,485.452,647.8231,386.833,520.0991,449.847,554.384,93.489,435.6081,146.372,443.087,440.514,442.7171,264.928,144.209,316.381,94.153,254.994,105.477,459.0731,128.56,69.228,280.133,39.12,472.3851,168.467,649.1271,99.767,375.725,472.612,129.363,247.419,290.568,93.044,410.6261,131.581,476.449,232.819,247.565,313.504,473.564,40.789,241.061,480.996,174.021,285.07,225.096,464.149,46.473,240.893,471.6291,0,151.521,510.645,252.052,17.015,43.711,547.428,343.507,69.676,85.234,7.029,118.62,46.248,40.978,80.487,472.519,538.662,210.16,
Turlock,305.656,308.134,304.0261,293.963,106.046,307.897,306.621,318.46,311.759,306.438,305.376,308.766,112.609,310.144,316.368,301.726,322.6891,329.611,310.2921,317.842,313.5901,314.203,102.623,106.745,312.863,302.957,98.271,309.654,313.2081,298.373,101.308,307.808,317.218,310.454,277.78,313.134,305.262,326.242,321.2231,310.2711,328.695,308.175,306.461,318.814,318.374,325.129,99.134,96.316,297.823,423.719,101.131,304.628,327.695,196.396,318.688,93.621,297.624,312.8911,300.876,109.759,307.372,305.022,319.509,311.289,334.031,310.84,338.217,94.783,110.468,91.751,424.086,95.295,332.423,316.3741,99.884,323.655,328.893,101.642,107.046,315.167,99.987,423.434,105.159,325.347,98.804,347.487,290.22,96.754,85.602,102.427,96.899,430.9901,293.345,421.053,95.387,108.674,317.434,98.645,332.55,323.827,296.463,299.099,288.726,145.436,124.234,99.697,312.376,9.7,215.938,317.8531,104.252,20.864,14.237,328.586,229.049,98.104,346.39,112.931,343.62,103.33,305.8391,104.346,355.815,518.186,322.127,390.462,320.21,424.7471,88.443,305.971,20.802,313.45,310.877,313.08,113.784,72.234,163.467,92.164,103.85,44.696,329.4361,113.894,90.467,128.988,117.136,342.748,17.322,519.4901,55.167,297.667,342.975,110.65,96.274,139.423,100.146,280.989,132.401,346.812,81.674,96.42,232.279,343.927,115.057,108.487,351.359,115.986,133.925,75.39,334.512,121.296,89.748,341.9921,151.635,0,381.008,100.907,135.909,112.931,417.791,209.418,94.16,76.164,152.31,62.702,121.071,115.801,106.052,342.882,409.0251,59.015,
Oceanside,78.93,77.57,80.101,91.316,464.832,75.925,81.744,66.724,78.988,78.292,83.152,83.822,471.3951,79.945,70.788,87.351,62.819,52.47,83.293,78.843,73.251,84.364,438.667,465.531,68.296,85.217,457.057,82.967,78.669,97.4,460.094,83.885,69.081,79.149,104.802,77.622,85.534,57.889,69.103,72.818,57.582,84.526,87.219,65.7,70.25,67.818,457.92,455.1021,83.57,44.353,459.917,83.662,60.664,186.125,63.108,408.5831,92.039,75.315,85.114,468.545,77.541,143.943,64.438,81.373,55.665,80.368,49.781,453.569,469.254,450.537,44.72,469.315,49.451,80.882,423.675,59.151,81.901,478.765,465.832,83.007,287.628,44.068,463.945,76.846,386.295,37.143,147.597,432.585,444.388,461.213,427.662,51.624,91,41.687,454.173,423.636,66.459,434.435,53.312,62.592,94.17,98.218,93.137,504.222,359.993,482.583,72.862,390.092,257.565,68.577,449.204,401.256,394.629,54.536,247.921,422.89,36.066,405.208,39.18,428.813,92.356,447.079,28.884,153.943,166.697,11.096,69.111,45.381,428.205,150.541,369.472,74.374,146.105,84.754,291.996,387.196,217.752,466.183,288.18,419.795,87.839,428.856,449.253,268.6,475.922,80.597,363.796,151.346,435.6681,177.844,38.377,425.612,285.354,253.021,436.599,138.366,506.42,77.157,300.167,293.877,240.956,43.41,483.614,274.9641,33.42,369.103,272.317,316.188,85.291,480.082,304.868,75.287,510.421,380.9781,0,280.288,494.695,471.717,38.425,186.041,452.946,434.95,511.096,443.203,479.8571,474.587,444.215,67.674,21.419,322.171,
